_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
179,Roads and bridges,Infrastructure,St. Charles,"Rehabilitation Musky Bay Road, Casimir Road and Culvert Structure Number 6",Complete,September 2019,Replacement of Musky Bay Road Culvert No. 6 and rehabilitation of Musky Bay Road and Casimir Road.,Increased traffic safety,Sudbury,Northeast,,P0M 2W0,,"$346,725",Yes,Yes,,,,46.322,-80.41
180,Roads and bridges,Infrastructure,St. Clair,Rehabilitation of the Holt Line Bridge over the Sydenham River,Complete,October 2020,"The project will rehabilitate the Holt Line Bridge over the Sydenham River. It includes repairs to the concrete abutments, replacement of the steel members and bearings, reconstruction of ballast walls and possible tie-back of the abutments to resist movement and impinging.  The concrete deck and curb, truss bottom chords and expansion bearings will be replaced.  Erosion control, removal of surface corrosion, painting and improvements to the guiderail system are also included.  Minor restoration work will be completed on the approaches in the immediate area of the bridge to facilitate abutment repairs.",,Lambton,Southwest,1155 Emily Street/Rue,N0N1M0,,0,Yes,Yes,Yes,,,42.69159,-82.402615
181,Roads and bridges,Infrastructure,Sundridge,Main Street Reconstruction,Complete,November 2018,Reconstruction of Main Street from Yonge Street going west.,Increased traffic safety,Parry Sound,Northeast,,P0A 1Z0,,"$1,794,462",Yes,Yes,,,,45.770831,-79.391938
182,Roads and bridges,Infrastructure,Tay Valley,Reconstruction of Otty Lake Side Road (Joint with Drummond-North Elmsley),Complete,June 2019,Reconstruction of Otty Lake Side Road.,Increased traffic safety,Lanark,East,Otty Lake Side Road,K7H 3C5,,"$2,562,894",Yes,Yes,,,,44.889163,-76.31701
183,Roads and bridges,Infrastructure,Temiskaming Shores,Replacement of the Roy Bridge,Complete,October 2021,"The Project is for the replacement of the Roy Bridge, located on Boundary Road/Uno Park Road approximately 1.5 kilometres west of Highway 11.The work involves the removal of the existing 65.9-metre, nine-span, concrete/timber combination bridge and the installation of a new, approximately 65.9-metre structure, as well as guiderails and approaches as required.",The new bridge will improve safety and reduce service interruptions.,Timiskaming,Northeast,903303 Hanbury Road,P0J1P0,,0,Yes,Yes,Yes,,,47.580789,-79.721003
184,Roads and bridges,Infrastructure,Terrace Bay,Reconstruction of Mill Road,Under construction,2021,"The project will reconstruct an approximately 460-metre section of Mill Road northwest of Highway 17 to the AV Terrace Bay Pulp Mill in Terrace Bay. The project scope includes widening the lanes and shoulders/bike lanes, resurfacing the asphalt on the road and shoulders/bike lanes, and improving drainage though ditch grading and culvert replacement.",,Thunder Bay,Northwest,1 Selkirk Avenue,P0T2W0,,0,Yes,Yes,Yes,,,48.79368,-87.09502
185,Roads and bridges,Infrastructure,The Blue Mountains,Thornbury West Stormwater Master Plan,Complete,March 2019,Conduct an environmental assessment to determine the preferred solution to address stormwater drainage in the community of Thornbury to the west of the Beaver River. ,,Grey,Southwest,,,,"$161,868",Yes,Yes,Yes,,,44.563076,-80.462264
186,Roads and bridges,Infrastructure,The Nation,Rehabilitation of Touchette Bridge,Complete,December 2023,"The Project is for the rehabilitation of the 72 metre Touchette Bridge, located on Route 650, approximately 1.7 kilometres east of Burelle Road in The Nation. The work includes replacing or rehabilitating steel beams and stringers as well as replacing the timber deck with a steel grillage deck or reinforced concrete.",,Prescott and Russell,East,958 Road 500 West,K0A1M0,,0,Yes,Yes,Yes,,,45.293275,-75.121392
187,Roads and bridges,Infrastructure,Thessalon First Nation,Reconstruction of Lakeside Drive (Formerly Kings Highway 17B),Complete,October 2023,"The Project will reconstruct approximately 1.2 kilometers of Lakeside Drive (formerly King’s Highway 17B) in Thessalon. The work will begin approximately 138 metres west of Junction Ontario and Frances Street. The project will realign and widen the roadway, including the shoulder for improved pedestrian and cycling use; install a left turn lane; replace culverts; improve drainage and resurface the road. The work will further include approximately 315 metres of walking trail as well as the installation of approximately 11 streetlights.",,Algoma,Northeast,187 Main Street/Rue,P0R1L0,,0,Yes,Yes,Yes,,,46.261432,-83.56713
188,Roads and bridges,Infrastructure,Thunder Bay,Balmoral Street Reconstruction,Complete,June 2017,"Reconstruction of Balmoral Street, from Hewitson Street to the Neebing River Floodway.",Increased Traffic Safety,Thunder Bay,Northwest,Balmoral Street,P7C 4J5,,"$2,000,000",Yes,Yes,,,,48.401431,-89.258244
189,Roads and bridges,Infrastructure,Tillsonburg,Newell Road Reconstruction,Complete,March 2018,Reconstruction of Newell Road. ,Increased Traffic Safety,Oxford,Southwest,Newell Road,N4G 5A5,,"$699,346",Yes,Yes,Yes,,,42.848738,-80.746405
190,Roads and bridges,Infrastructure,Tillsonburg,Concession Street East Reconstruction,Complete,September 2018,Reconstruction of Concession Street East.,Increased traffic safety,Oxford,Southwest,Concession Street East,N4G 5A7,,"$800,917",Yes,Yes,,,,42.868314,-80.71679
191,Roads and bridges,Infrastructure,Timmins,Replacement of the Porcupine River Box Culvert,Complete,October 2018,"Replacement of the Porcupine River Box Culvert, including replacement of guard rails.",Increased traffic safety,Cochrane,Northeast,,,,"$590,545",Yes,Yes,,,,48.482476,-81.222288
192,Roads and bridges,Infrastructure,Tudor and Cashel,Safety Rehabilitation of Weslemkoon Lake Road,Complete,October 2018,Rehabilitation of Weskemkoon Lake Road.,Increased traffic safety,Hastings,East,Weslemkoon Lake Road,K0L 1W0,,"$1,251,000",Yes,Yes,,,,44.834533,-77.590449
193,Roads and bridges,Infrastructure,Walpole Island First Nation,Replacement of Tecumseth Road Culvert,Planning,2023,"The Project will replace a 3.6 metre culvert on Tecumseh Road in the Walpole Island First Nation.The Project will include design, engineering, and replacement of a failing culvert that supports Tecumseh Road over the Potawatomi Dredge Cut. The existing structure will be  replaced with either two, pre-cast culverts, or a new concrete structure. The area of the replaced culvert will be overlaid with granular materials, clear stone and asphalt while geotextile and rip rap will be placed along the sides of the culverts or structure to prevent erosion.",,,Southwest,117 Tahgahoning Road,N8A4K9,,0,Yes,Yes,Yes,,,42.590237,-82.484044
194,Roads and bridges,Infrastructure,Warwick,Warwick Bridge No. 6 Replacement,Complete,December 2017,Replacement of Warwick Bridge No. 6 on Hickory Creek Line.,Increased Traffic Safety,Lambton,Southwest,Hickory Creek Line,,,"$205,861",Yes,Yes,,,,43.078128,-81.916562
195,Roads and bridges,Infrastructure,Warwick,Confederation Line Rehabilitation,Complete,October 2019,Rehabilitation of Confederation Line between Nauvoo Road and Forest Road.,Increased traffic safety,Lambton,Southwest,,N0M 2S0,,"$1,538,825",Yes,Yes,,,,42.9555,-81.8826
196,Roads and bridges,Infrastructure,Wasauksing First Nation,Reconstruction of 16 km of Wawbawzee Road,Planning,2023,"The project will reconstruct approximately 14 km of Wawbawzee Road from the Deemeemguk Road intersection through to where Wawbawzee Road turns into Oak Point Road and will conclude prior to the entrance of the privately owned marina.  The Project scope will include realignment, removal and replacement of the subgrade, installation of culverts and proper shoulders, improved ditching, drainage, and paving.","The project will improve road safety, community access and support faster emergency response.",,Northeast,"1508 Geewadin Road, Lane G",P2A2X4,,0,Yes,Yes,Yes,,,45.313272,-80.09237
197,Roads and bridges,Infrastructure,Waterloo,Sediment removal from pond 12,Complete,June 2018,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,335 Laurelwood Dr,N2J 3Z4,,"$307,840",Yes,Yes,Yes,,,43.481079,-80.606689
198,Roads and bridges,Infrastructure,Waterloo,Sediment removal from pond 14.,Complete,June 2018,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,585 Coldstream Dr,N2V 2H3,,"$109,336",Yes,Yes,Yes,,,43.494507,-80.576111
199,Roads and bridges,Infrastructure,Waterloo,Sediment removal from pond 7.,Complete,December 2019,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,74 Erbsville Rd,N2T 2P6,,"$297,357",Yes,Yes,Yes,,,43.455688,-80.570496
200,Roads and bridges,Infrastructure,Waterloo,Retrofit and sediment removal from pond 20.,Complete,December 2019,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,165 Frobisher Dr,N2V 2E9,,"$481,535",Yes,Yes,Yes,,,43.50769,-80.527222
201,Roads and bridges,Infrastructure,Waterloo,Retrofit and sediment removal from pond 30.,Complete,December 2019,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,378 University Downs Crescent,N2K 4B1,,"$300,200",Yes,Yes,Yes,,,43.49292,-80.488892
202,Roads and bridges,Infrastructure,Waterloo,Retrofit and sediment removal from pond 33.,Complete,December 2019,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,551 Eastbridge Blvd,N2K 3Z7,,"$603,725",Yes,Yes,Yes,,,43.50708,-80.500793
203,Roads and bridges,Infrastructure,Waterloo,Retrofit and sediment removal from pond 38.,Complete,December 2019,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,2355 University Ave. E,N2K 0A2,,"$783,916",Yes,Yes,Yes,,,43.517517,-80.515991
204,Roads and bridges,Infrastructure,Waterloo,Sediment removal from pond 55.,Complete,December 2019,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,26 Fischer-Hallman Rd N 24B,,,"$232,800",Yes,Yes,Yes,,,43.45503,-80.554722
205,Roads and bridges,Infrastructure,Wawa,Reconstruction of Roads Wawa School  Zone,Under construction,2022,"The Project will reconstruct nine roads that total approximately 2.5 kilometres in Wawa. Project work will take place on Grace Street, Parkhill Street, Darwin Street, Boyer Street, Ross Street, Spruce Street from Churchill Ave. to Superior Ave., Churchill Ave. from Mission Road to Hillcrest Ave. intersection, Arnott Ave. from Parkhill to Magpie Road, and Magpie Road from Mission Road to Churchill Ave.  The reconstruction will include reparation of frost heaves; drainage improvements; replacement of curbs, gutters, sidewalks and ramps; resurfacing of roads; and repainting of pavement markers. In addition, the project will install pedestrian crossings, bike lanes, sidewalks, a bus loading zone and parking.","These upgrades will improve safety and reliability, support better traffic flow, and facilitate active transportation.",Algoma,Northeast,40 Broadway Avenue,P0S1K0,,0,Yes,Yes,Yes,,,47.9913,-84.776384
206,Roads and bridges,Infrastructure,Welland,Construction of the Former Welland Canal Crossing,Planning,2024,"The Project will replace the former Forks Road Bridge lift structure over the Welland Canal in Welland.The work will involve building a new bridge with a span of approximately 124 meters, installing new abutments, and approach work to elevate/widen the existing road to match the new structure as required.","Improved public health and safety concerns, traffic flow for motorist and pedestrians, emergency response, and reduce the probability of asset failure and service interruptions.",Niagara,Central,60 East Main Street/Rue,L3B3X4,,0,Yes,Yes,Yes,,,42.947137,-79.249314
207,Roads and bridges,Infrastructure,Wellington North,Cst. Rick Hopkins Bridge Rehabilitation,Complete,September 2017,Restoring Cst. Rick Hopkins Bridge,"New deck and railings, pavement, curbs and sidewalks",Wellington,Southwest,Highway 6 (Main Street South),N0G 2E0,,"$992,652",Yes,Yes,Yes,,,43.9755,-80.7284
208,Roads and bridges,Infrastructure,West Grey,Lantz Bridge Replacement,Complete,June 2022,"The project will replace the single lane, 15-metre Lantz bridge with a wider, two-lane wooden bridge. Project work will include; strip and stockpile soil, removal of the existing structure, dewatering and excavation and installation of foundations.  Wooden girders and deck will be installed and bridge approaches will be reconstructed and widened.  Site restoration work and clean-up will also be included.",,Grey,Southwest,402813 GREY ROAD 4,N0G1R0,,0,Yes,Yes,Yes,,,44.192501,-80.856513
209,Roads and bridges,Infrastructure,West Lincoln,Reconstruction of St. Ann's Road,Planning,June 2025,"The Project will rehabilitate approximately 1.5 kilometers of St. Ann’s Road between Twenty Mile Road and Regional Road Twenty, and upgrade the 31 metre, St. Ann’s Bridge (Bridge 46) in West Lincoln.The road rehabilitation will involve installing of driveway culverts, a curb and gutter system and ditching to address roadway drainage; replacing and widening sidewalks; improving the railway crossing to meet regulatory requirements; installing new guiderails; relocating utilities (gas, hydro, telecommunications); rebuilding the granular sub-base and repaving the road. In addition, the upgrade to St. Ann’s Bridge will include patch repairs to the substructure, erosion protection, deck improvements, and replacement of the barrier walls and deck sidewalk.",,Niagara,Central,318 Canborough Street/Rue,L0R2A0,,0,Yes,Yes,Yes,,,43.076349,-79.50018
210,Roads and bridges,Infrastructure,West Nipissing,Rehabilitation of Leblanc and Lalande Roads,Complete,November 2018,"Rehabilitation of Leblanc Road, from Bay Street to Lalande Road, and Lalande Road, from Leblanc Road to Fort Road.",Increased traffic safety,Nipissing,Northeast,,P2B 2N2,,"$1,010,938",Yes,Yes,,,,46.354049,-79.955738
211,Roads and bridges,Infrastructure,White River,Rehabilitation of Lyndale Road and Black's Trail,Complete,November 2022,"The Project will rehabilitate Lyndale Road from Highway 631 for approximately 2.3 kilometres and Black’s Trail from Lyndale Road for approximately 0.9 kilometres in White River.The work involves replacing the road base, regrading, adjusting horizontal and vertical alignments and lane width as required, reconfiguring an intersection, improving drainage by ditching and replacing culverts, and constructing two turn-around areas for snow plows.",,Algoma,Northeast,102 Durham Street P.O. Box 307,P0M3G0,,0,Yes,Yes,Yes,,,48.61382,-85.253739
212,Roads and bridges,Infrastructure,Wilmot,Holland Mills Road Bridge Rehabilitation,Complete,July 2019,Replacement of Holland Mills Road Bridge.,Increased traffic safety,Waterloo,Southwest,1527 Holland Mills Road,N3A 3G4,,"$1,198,193",Yes,Yes,,,,43.37546,-80.67883
213,Roads and bridges,Infrastructure,Wilmot,Replacement of Structure 34/B-T9 over the Nith River,Complete,November 2023,"The Project will replace bridge 34/B-T9 which is a 45-metre, one-lane bridge with a new, two-lane concrete structure in the Township of Wilmot.  The work will involve the removal of the existing structure and abutments; building a new foundation, abutments, and superstructure with a reinforced concrete deck and barrier walls, as well as approach work on either side of the bridge including a redesign of the vertical alignment to accommodate the bridge elevation. Bridge Street will be widened to a two-lane approach with shouldering, guiderails, and safety attenuators will be installed.  Erosion and sediment control measures will also be added.","Improved load, width, and height restrictions at this bridge.  ",Waterloo,Southwest,60 Snyder's Road West/Ouest,N3A1A1,,0,Yes,Yes,Yes,,,43.332938,-80.64351
214,Roads and bridges,Transportation,Aylmer,Talbot Street West Reconstruction,Complete,March 2017,Reconstruct Talbot Street West (Highway 3),,Elgin,Southwest,,,Highway 3,0,,Yes,,,,,
215,Roads and bridges,Transportation,Aylmer,Traffic signal installation ,Complete,March 2021,Install traffic signals at the intersection of Talbot Street West and Caverly Road,,Elgin,Southwest,,,Highway 3,"$225,000",,Yes,,,,42.773196,-80.99547
216,Roads and bridges,Transportation,Bancroft,Rehabilitation of Monch Street,Complete,March 2021,Reconstruct Monck Street,,Hastings,East,,,Highway 28,"$1,689,918",,Yes,,,https://www.news.ontario.ca/mto/en/2019/07/connecting-links-funding-by-municipality-3.html,45.052459,-77.87683
217,Roads and bridges,Transportation,Bancroft,Rehabilitation of Hastings Street North ,Complete,March 2023,Rehabilitation of Hastings Street North ,,Hastings,East,,,62,"$2,186,279",,Yes,,,,45.062804,-77.85679
218,Roads and bridges,Transportation,Barrie,Bayfield Street (Highway 26) Rehabilitation,Complete,March 2017,Rehabilitation of 1 kilometre section of Bayfield Street from Livingstone Street to the City Limit on the city's connecting link on Highway 26,,Simcoe,Central,,,Highway 26,0,,Yes,,,,,
219,Roads and bridges,Transportation,Barrie,Bayfied Street Rehabilitation,Complete,March 2018,Rehabilitate Bayfield Street from Coulter Street to Cundles Street ,,Simcoe,Central,,,Highway 26,0,,Yes,,,,44.401356,-79.700585
220,Roads and bridges,Transportation,Barrie,Bayfield Street Rehabilitation,Complete,June 2018,"Resurface 600 metres of Bayfield Street, from Highway 400/Coulter Street to Ferris Lane and from Ferris Lane to Cundles Road",,Simcoe,Central,,,Highway 26,0,,Yes,,,,44.401356,-79.700585
221,Roads and bridges,Transportation,Barrie,"Anne St., Barrie",Complete,2023,Bridge replacement,2 bridge replacement,Simcoe,Central,,,400,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.38012737,-79.71087718
222,Roads and bridges,Transportation,Barrie,Resurfacing of Bayfield Street (Cundles Rd. to Livingstone St.),Complete,March 2021,Resurfacing of Bayfield Street (Cundles Rd. to Livingstone St.),,Simcoe,Central,,,26,"$1,377,000",,Yes,,,,44.401356,-79.700585
223,Roads and bridges,Transportation,Belleville,North Front Street Resurfacing ,Complete,March 2018,Reconstruction of North Front Street,,Hastings,East,,,Highway 62,0,,Yes,,,,44.179891,-77.392321
224,Roads and bridges,Transportation,Belleville,Detailed Design for Sagonaska Bridge Rehabilitation ,Complete,March 2019,Detailed design for the rehabilitation of Sagonaska Bridge on Pinnacle Street,,Hastings,East,,,Highway 62,0,,Yes,,,,44.170033,-77.385539
225,Roads and bridges,Transportation,Belleville,Rehabilitation of  the Saganoska Bridge,Complete,March 2022,Rehabilitate the Saganoska Bridge,,Hastings,East,,,Highway 62,"$3,000,000",,Yes,,,https://www.news.ontario.ca/mto/en/2019/07/connecting-links-funding-by-municipality-3.html,44.170008,-77.385638
226,Roads and bridges,Transportation,Black River-Matheson,Resurfacing of Fourth Avenue (Highway 11 to Second St.),Complete,March 2021,Resurfacing of Fourth Avenue (Highway 11 to Second St.),,Cochrane,Northeast,,,11/101,"$641,192",,Yes,,,,48.537198,-80.464119
227,Roads and bridges,Transportation,Blind River,Detailed Design - Causley Street Bridge Rehabilitation,Complete,March 2017,Detailed Design - Causley Street Bridge Rehabilitation,,Algoma,Northeast,,,Highway 17,0,,Yes,,,,46.185836,-82.955871
228,Roads and bridges,Transportation,Blind River,Causley Street Bridge Rehabilitation,Complete,March 2020,Rehabilitate the Causley Street bridge and adjacent pedestrian crossing,,Algoma,Northeast,,,Highway 17,"$3,000,000",,Yes,,,,46.185847,-82.955863
229,Roads and bridges,Transportation,Bonnechere Valley,Reconstruction of Bridge Street,Complete,March 2021,Reconstruction of Bridge Street,,Renfrew,East,,,41,"$751,273",,Yes,,,,45.540029,-77.100979
230,Roads and bridges,Transportation,Bradford-West Gwillimbury,"Bradford Bypass, west contract, Bradford",Planning,To Be Determined,New four-lane highway,,Simcoe,Central,,,To be assigned,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.13146257,-79.55656155
231,Roads and bridges,Transportation,Brantford,Resurfacing of King George Road ,Complete,March 2021,Resurfacing of King George Road ,,Brant,Southwest,,,24,"$1,053,621",,Yes,,,,43.182409,-80.283575
232,Roads and bridges,Transportation,Burk's Falls,Armstrong Bridge Rehabilitation,Complete,October 2017,Rehabilitation of Armstrong Bridge on Highway 520,,Parry Sound,Northeast,,,Highway 520,0,,Yes,,,,45.62209,-79.40995
233,Roads and bridges,Transportation,Burk's Falls,Rehabilitation of the Armstrong Bridge,Complete,March 2021,Rehabilitation of the Armstrong Bridge,,Parry Sound,Northeast,,,520,"$851,731",,Yes,,,,45.622005,-79.409847
234,Roads and bridges,Transportation,Burlington,"Waterdown  Rd. and Lemonville Rd., Burlington",Planning,2025-2026,Bridge rehabilitation,,Halton,Central,,,403,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.31213,-79.859974
235,Roads and bridges,Transportation,Central Huron,Resurfacing of Victora Street ,Complete,March 2022,Resurface Victora Street ,,Huron,Southwest,,,Highway 4,"$418,180",,Yes,,,,43.61925,-81.544679
236,Roads and bridges,Transportation,Centre Hastings,Resurfacing of Durham Street,Complete,March 2020,Resurface 275 m of Durham Street from Livingstone Street to St.Lawrence Street and improve drainage,,Hastings,East,,,Highway 62,"$738,371",,Yes,,,,44.504313,-77.472528
237,Roads and bridges,Transportation,Centre Hastings,Rehabilitation of Russel Street Bridge,Complete,March 2024,Rehabilitation of Russel Street Bridge,,Hastings,East,,,62,"$847,760",,Yes,,,,44.506,-77.47445
238,Roads and bridges,Transportation,Centre Wellington,St. David Street Bridge Rehabilitation,Complete,November 2018,Rehabilitation of the St. David Street Bridge,,Wellington,Southwest,,,Highway 6,0,,Yes,,,https://www.centrewellington.ca/en/living-here/construction-projects.aspx,43.705509,-80.376948
239,Roads and bridges,Transportation,Centre Wellington,Reconstruction of St. David Street North from St. Andrew Street to Edinburgh Avenue (Fergus),Under construction,March 2026,Reconstruction of St. David Street North from St. Andrew Street to Edinburgh Avenue (Fergus),,Wellington,Southwest,,,6,"$2,849,176",,Yes,,,,43.707774,-80.382513
240,Roads and bridges,Transportation,Champlain,High Street Reconstruction,Complete,March 2020,Road reconstruction from the intersection of Highway 34 and Main Street in Vankleek Hill to the southern limits of the Township,,Prescott and Russell,East,,,Highway 34,"$2,925,111",,Yes,,,,45.514865,-74.655462
241,Roads and bridges,Transportation,Chatham-Kent,McNaughton Avenue and Murray Street Reconstruction,Complete,August 2017,Reconstruction of McNaughton Avenue and Murray Street,,Chatham-Kent,Southwest,,,Highway 40,0,,Yes,,,,,
242,Roads and bridges,Transportation,Chatham-Kent,Lord Selkirk Bridge Rehabilitation,Complete,March 2020,"Rehabilitate the existing bridge structure involving mechanical, electrical and structural work to allow this bridge to continue to open to allow the passage of marine traffic",,Chatham-Kent,Southwest,,,Highway 40,"$3,000,000",,Yes,,,,42.591826,-82.387546
243,Roads and bridges,Transportation,Chatham-Kent,Rehabilitation of Grand Avenue East (Chatham),Complete,March 2023,Rehabilitation of Grand Avenue East (Chatham),,Chatham-Kent,Southwest,,,40,"$3,000,000",,Yes,,,,42.422255,-82.167753
244,Roads and bridges,Transportation,Chatham-Kent,Rehabilitation of Dufferin Avenue (Wallaceburg),Complete,March 2024,Rehabilitation of Dufferin Avenue (Wallaceburg),,Chatham-Kent,Southwest,,,40,"$3,000,000",,Yes,,,,42.593071,-82.399831
245,Roads and bridges,Transportation,Cochrane District,"17.4 km north of the west junction of Hwy 583 to Hwy 663, Calstock",Planning,2025-2026,Resurfacing,,Cochrane,Northeast,,,11,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,49.72810164,-83.89662966
246,Roads and bridges,Transportation,Collingwood,Rehabilitation of Highway 26 from Osler Bluff Road to Cranberry Trail West ,Under construction,March 2026,Rehabilitation of Highway 26 from Osler Bluff Road to Cranberry Trail West ,,Simcoe,Central,,,26,"$2,120,170",,Yes,,,,44.51993,-80.278476
247,Roads and bridges,Transportation,Cornwall,Brookdale Avenue (Highway 138) Overpass Bridge Rehabilitation,Complete,March 2019,Rehabilitation of the Canadian National Railway overpass on Brookdale Avenue on the city's Highway 138 connecting link.,,"Stormont, Dundas and Glengarry",East,,,Highway 138,0,,Yes,,,,45.042254,-74.764704
248,Roads and bridges,Transportation,Cornwall,Reconstruction of Brookdale Avenue,Complete,March 2023,Reconstruction of Brookdale Avenue,,"Stormont, Dundas and Glengarry",East,,,138,"$1,612,557",,Yes,,,,45.045278,-74.767292
249,Roads and bridges,Transportation,Cornwall,Environmental Assessment - Brookdale Avenue from 7th Street West to 14th Street West,Complete,March 2024,Environmental Assessment - Brookdale Avenue from 7th Street West to 14th Street West,,"Stormont, Dundas and Glengarry",East,,,138,"$274,752",,Yes,,,,45.026065,-74.750786
250,Roads and bridges,Transportation,Cornwall,Rehabilitation and Widening of Cornwall Center Road from Highway 138 to Brookdale Ave,Under construction,March 2025,Rehabilitation and Widening of Cornwall Center Road from Highway 138 to Brookdale Ave,,"Stormont, Dundas and Glengarry",East,,,138,"$952,312",,Yes,,,,45.059194,-74.773333
251,Roads and bridges,Transportation,Dorion,"3 km west of CPR overhead at Ouimet to Dorion East Loop Rd. including CPR overheads at Ouimet, Shuniah, Dorion",Complete,2023,"Two to four-lane widening, New bridge, Illumination",,Thunder Bay,Northwest,,,"11, 17",0,,Yes,Yes,,https://www.ontario.ca/page/ontarios-highway-programs,48.79333569,-88.54188777
252,Roads and bridges,Transportation,Dryden,Government Street  Repaving,Complete,March 2017,"Road repaving, rout and seal on Government Street",,Kenora,Northwest,,,Highway 17,0,,Yes,,,,,
253,Roads and bridges,Transportation,Dryden,Duke Street Bridges Rehabilitation,Complete,March 2018,Rehabilitate two bridges along Duke Street,,Kenora,Northwest,,,Highway 11,0,,Yes,,,,49.782053,-92.821318
254,Roads and bridges,Transportation,Dryden,Duke Street Reconstruction ,Complete,March 2019,"Rehabilitate 115 m of Duke Street from Wabigoon River Bridge, including storm sewer repair, subgrade rehabilitation, drainage and repaving",,Kenora,Northwest,,,Highway 594,0,,Yes,,,,49.781812,-92.843131
255,Roads and bridges,Transportation,Dryden,Detailed Design for Signalized Intersection Studies & Replacement,Complete,March 2021,Detailed Design for Signalized Intersection Studies & Replacement,,Kenora,Northwest,,,Highway 17&594,"$112,000",,Yes,,,,49.786167,-92.821352
256,Roads and bridges,Transportation,Dryden,Resurfacing of Duke Street ,Complete,March 2021,Resurfacing of Duke Street ,,Kenora,Northwest,,,594,"$400,854",,Yes,,,,49.784102,-92.821885
257,Roads and bridges,Transportation,Dryden,Traffic Signal Replacements along Duke Street (Highway 594) and Government Street (Highway 17) (8 Sets),Complete,March 2023,Traffic Signal Replacements along Duke Street (Highway 594) and Government Street (Highway 17) (8 Sets),,Kenora,Northwest,,,17 & 594,"$1,199,520",,Yes,,,,49.78616,-92.82127
258,Roads and bridges,Transportation,Dryden,Reconstruction of Grand Trunk Ave (Highway 17) from Leach Road to Cecil Street,Under construction,March 2025,Reconstruction of Grand Trunk Ave (Highway 17) from Leach Road to Cecil Street,,Kenora,Northwest,,,17,"$2,910,410",,Yes,,,,49.80026,-92.84708
259,Roads and bridges,Transportation,Durham,"Various locations, Toronto, York, Durham",Planning,2024,Culvert replacement,,Durham,Central,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.93997891,-78.44937257
260,Roads and bridges,Transportation,Dysart et al,Detailed Design for Drag River Bridge Rehabilitation,Complete,March 2021,Detailed Design for Drag River Bridge Rehabilitation,,Haliburton,East,,,118,"$22,530",,Yes,,,,45.047687,-78.509426
261,Roads and bridges,Transportation,Espanola,Centre Street Reconstruction ,Complete,March 2020,Reconstruct 570 m of Centre Street from Station Road to Second Avenue including intersection improvements,,Sudbury,Northeast,,,Highway 6,"$2,894,069",,Yes,,,,46.260752,-81.765455
262,Roads and bridges,Transportation,Espanola,Highway 6 reconstruction,Complete,March 2022,Reconstruct Centre Street (Highway 6) from the McDonald's restaurant to McCulloch Drive,,Sudbury,Northeast,,,Highway 6,"$3,000,000",,Yes,,,,46.25,-81.76
263,Roads and bridges,Transportation,Espanola,Reconstruction of Centre Street – 2nd Avenue to McDonald's Entrance,Complete,March 2024,Reconstruction of Centre Street – 2nd Avenue to McDonald's Entrance,,Sudbury,Northeast,,,6,"$3,000,000",,Yes,,,,46.25,-81.76
264,Roads and bridges,Transportation,Essex County,"Ellis Side Rd. to Essex Rd. 23, County of Essex, Contract 1",Complete,2023,Two to four-lane widening,Two to four-lane widening,Essex,Southwest,,,3,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.14489445,-82.79500019
