_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
112,Child care,Education,Kingston,EarlyON Central Kingston,Complete,September 2018,Renovation of existing building,Renovation to accommodate 1 community-based EarlyON room,Frontenac,East,299 CONCESSION ST,K7K2B9,,"$262,500",,Yes,,,,44.232158,-76.482082
113,Child care,Education,Kingston,Helen Tuft's Nursery School,Complete,September 2018,Renovation of existing building,Renovation to accommodate 24 community-based child care spaces,Frontenac,East,559 BAGOT ST,K7K3E6,,"$30,000",,Yes,,,,44.239504,-76.484677
114,Child care,Education,Kingston,Outreach in Central Kingston,Complete,September 2018,Renovation of existing building,Renovation to accommodate 1 community-based EarlyON room,Frontenac,East,263 WELLER AVE,K7K2V4,,"$50,000",,Yes,,,,44.26532,-76.481805
115,Child care,Education,Kingston,Outreach in South Frontenac,Complete,September 2018,Renovation of existing building,Renovation to accommodate 1 community-based EarlyON room,Frontenac,East,4365 MILL ST,K0H2T0,,"$50,000",,Yes,,,,44.318795,-76.540841
116,Child care,Education,Kingston,Outreach in West Kingston,Complete,September 2018,Renovation of existing building,Renovation to accommodate 1 community-based EarlyON room,Frontenac,East,1350 GARDINERS RD,K7P0E5,,"$50,000",,Yes,,,,44.275282,-76.569004
117,Child care,Education,Kingston,Outreach in West Kingston,Complete,September 2018,Renovation of existing building,Renovation to accommodate 1 community-based EarlyON room,Frontenac,East,1300 BATH RD,K7M4X4,,"$50,000",,Yes,,,,44.219013,-76.568118
118,Child care,Education,Kitchener,Journey Together funded Child & Family Program,Complete,September 2018,Renovation of existing building,Renovation to accommodate 3 community-based EarlyON rooms,Waterloo,Southwest,236 WOODHAVEN RD,N2C1V5,,"$450,000",,Yes,,,,43.452673,-80.484791
119,Child care,Education,Kitchener,Lackner Woods Public Elementary School,Complete,September 2022,Expansion of existing school,Addition to accommodate 88 child care spaces,Waterloo,Southwest,151 ZELLER DR,N2A4H4,,"$3,506,047",,Yes,,,,43.45226,-80.4189
120,Child care,Education,Kitchener,St. Francis Catholic Continued Education,Complete,February 2022,Expansion of existing school,Addition to accommodate 88 child care spaces and 3 EarlyON rooms,Waterloo,Southwest,154 GATEWOOD RD,N2M4E4,,"$4,033,365",,Yes,,,,43.43297,-80.50816
121,Child care,Education,Leamington,Wheatley Area Public Elementary School,Complete,September 2018,Renovation of existing school,Renovation to accommodate 10 child care spaces,Essex,Southwest,226 ERIE ST N,N0P2P0,,"$264,690",,Yes,,Yes,,42.10155,-82.46322
122,Child care,Education,London,Indigenous-led Child Care,Complete,September 2019,Expansion of existing building,Addition to accommodate 88 community-based child care spaces,Middlesex,Southwest,449 HILL ST,N6B1E5,,"$2,500,000",,Yes,,,,,
123,Child care,Education,London,St. Anne Catholic Elementary School,Under construction,September 2025,Expansion of existing school,Addition to accommodate 88 child care spaces and 2 EarlyON rooms,Middlesex,Southwest,1366 HURON ST,N5V2E2,,"$6,110,158",,Yes,,,,43.02133,-81.21294
124,Child care,Education,London,école élémentaire publique Marie-Curie,Complete,February 2024,Renovation of existing school,Renovation to accommodate 39 child care spaces,Middlesex,Southwest,40 HUNT CLUB DR,N6H3Y3,,"$267,412",,Yes,Yes,Yes,,42.9748,-81.32824
125,Child care,Education,Loyalist,LARC Amherstview Daycare,Complete,September 2018,Expansion of existing building,Addition to accommodate 49 community-based child care spaces,Lennox and Addington,East,73 KILDARE AVE,K7N1J1,,"$1,575,000",,Yes,,,,44.222287,-76.656862
126,Child care,Education,"Macdonald, Meredith and Aberdeen Add'l",Echo Bay Central Public Elementary School,Complete,September 2020,Expansion of existing school,Addition to accommodate 10 child care spaces,Algoma,Northeast,290 CHURCH ST,P0S1C0,,"$655,422",,Yes,,,,46.48567,-84.0637
127,Child care,Education,Machin,Lillian Berg Public Elementary School,Under construction,2024,Renovation of existing school,Renovation to accommodate 15 child care spaces,Kenora,Northwest,1 SCHOOL LANE,P0V2V0,,"$1,225,488",,Yes,,Yes,,49.8567,-93.3849
128,Child care,Education,Madawaska Valley,St. John Bosco Catholic Elementary School,Complete,September 2018,Renovation of existing school,Renovation to accommodate 39 child care spaces,Renfrew,East,99 PETER ST,K0J1B0,,"$1,606,266",,Yes,,,,45.49113,-77.67575
129,Child care,Education,Markham,St. Rene Goupil-St. Luke Catholic Elementary School,Complete,September 2023,Expansion of existing school,Addition to accommodate 49 child care spaces,York,Central,135 GREEN LANE,L3T6K7,,"$1,951,469",,Yes,,Yes,,43.82408,-79.38771
130,Child care,Education,Markham,Wilclay Public Elementary School,Complete,September 2020,Renovation of existing school,Renovation to accommodate 39 child care spaces,York,Central,60 WILCLAY AVE,L3S1R4,,"$896,094",,Yes,,,,43.83266,-79.28245
131,Child care,Education,Markstay-Warren,Markstay Public Elementary School,Complete,September 2018,Renovation of existing school,Renovation to accommodate 30 child care spaces,Sudbury,Northeast,7 PIONEER ST E,P0M2G0,,"$504,171",,Yes,,Yes,,46.4929,-80.54006
132,Child care,Education,Middlesex Centre,Ilderton EarlyON & Library,Complete,September 2019,Expansion of existing building,Addition to accommodate 1 community-based EarlyON room,Middlesex,Southwest,40 HERITAGE DR,N0M2A0,,"$530,000",,Yes,,,,43.0781,-81.375367
133,Child care,Education,Milton,St. Peter Catholic Elementary School,Complete,April 2021,Expansion of existing school,Addition to accommodate 88 child care spaces,Halton,Central,137 DIXON DR,L9T5P7,,"$3,067,683",,Yes,,,,43.53378,-79.8643
134,Child care,Education,Minden Hills,Minden,Complete,September 2018,Expansion of existing building,Addition and renovation to accommodate 49 community-based child care spaces,Haliburton,East,16 PRENTICE ST,K0M2K0,,"$750,000",,Yes,,,,44.931786,-78.727562
135,Child care,Education,Minto,Palmerston Public Elementary School,Complete,September 2020,Expansion of existing school,Addition to accommodate 49 child care spaces,Wellington,Southwest,530 PROSPECT ST,N0G2P0,,"$1,732,476",,Yes,,Yes,,43.8308,-80.84328
136,Child care,Education,Mississauga,Lancaster Public Elementary School,Complete,January 2021,Renovation of existing school,Renovation to accommodate 25 child care spaces,Peel,Central,7425 NETHERWOOD RD,L4T2N7,,"$823,208",,Yes,,,,43.71775,-79.6476
137,Child care,Education,Mississauga,Munden Park Public Elementary School,Complete,January 2021,Renovation of existing school,Renovation to accommodate 24 child care spaces,Peel,Central,515 TEDWYN DR,L5A1J8,,"$771,116",,Yes,,,,43.5832,-79.59252
138,Child care,Education,Mississauga,Gordon Graydon Memorial Public Secondary School,Complete,September 2021,Renovation of existing school,Renovation to accommodate 73 child care spaces,Peel,Central,1490 OGDEN AVE,L5E2H8,,"$2,358,675",,Yes,,,,43.58586,-79.57214
139,Child care,Education,Mississauga,Meadowvale Public Secondary School,Complete,January 2021,Renovation of existing school,Renovation to accommodate 73 child care spaces,Peel,Central,6700 EDENWOOD DR,L5N3B2,,"$1,553,921",,Yes,,,,43.57791,-79.76129
140,Child care,Education,Mississauga,St. Edith Stein Catholic Elementary School,Complete,September 2021,Renovation of existing school,Renovation to accommodate 34 child care spaces,Peel,Central,6234 OSPREY BLVD,L5N5V5,,"$1,008,341",,Yes,,,,43.56624,-79.75858
141,Child care,Education,Mississauga,Father Michael Goetz Catholic Secondary School,Complete,February 2021,Renovation of existing school,Renovation to accommodate 49 child care spaces,Peel,Central,330 CENTRAL PKY W,L5B3K6,,"$1,205,845",,Yes,,,,43.58188,-79.63583
142,Child care,Education,Mississauga,St. Albert of Jerusalem Catholic Elementary School,Complete,January 2021,Renovation of existing school,Renovation to accommodate 73 child care spaces,Peel,Central,7185 ROSEHURST DR,L5N7G6,,"$2,000,882",,Yes,,,,43.58028,-79.78923
143,Child care,Education,Mississauga,École élémentaire catholique Saint-Jean-Baptiste,Under construction,2024,Expansion of existing school,Addition to accommodate 39 child care spaces,Peel,Central,1910 BROAD HOLLOW GATE,L5L3T4,,"$1,040,060",,Yes,Yes,,,43.5428,-79.6671
144,Child care,Education,Mississauga,Cooksville Caring for Kids,Complete,September 2019,Renovation of existing building,Renovation to accommodate 80 community-based child care spaces and 3 community-based EarlyON rooms,Peel,Central,130 DUNDAS ST E,L5A3V8,,"$1,916,667",,Yes,,,,43.582942,-79.612441
145,Child care,Education,Mississauga,Little Angels 1,Complete,September 2018,Renovation of existing building,Renovation to accommodate 15 community-based child care spaces,Peel,Central,1245 EGLINTON AVE W,L5N2M4,,"$250,000",,Yes,,,,43.580365,-79.683704
146,Child care,Education,Mississauga,Little Angels 2,Complete,September 2018,Renovation of existing building,Renovation to accommodate 25 community-based child care spaces,Peel,Central,6341 MISSISSAUGA RD,L5N1A5,,"$500,000",,Yes,,,,43.595282,-79.730439
147,Child care,Education,Mississauga,Salvation Army Erin Mills Day Care,Complete,September 2020,Expansion of existing school,Addition and renovation to accommodate 10 community based child care spaces,Peel,Central,2460 THE COLLEGEWAY,L5L1V3,,0,,,,,,43.535941,-79.686013
148,Child care,Education,Mississauga,Cashmere Avenue Public Elementary School,Planning,September 2024,Expansion of existing school,Addition to accommodate 73 child care spaces,Peel,Central,2455 CASHMERE AVE,L5B2M7,,"$2,139,296",,Yes,,,,43.56495,-79.62595
149,Child care,Education,Mississauga,San Lorenzo Ruiz Catholic Elementary School,Complete,September 2023,Renovation of existing school,Renovation to accommodate 73 child care spaces,Peel,Central,100 BARONDALE DR,L4Z3R1,,"$1,604,472",,Yes,,,,43.61777,-79.66355
150,Child care,Education,Mississauga,Our Lady of Mercy Catholic Elementary School,Complete,September 2023,Renovation of existing school,Renovation to accommodate 73 child care spaces,Peel,Central,5820 GLEN ERIN DR,L5M5J9,,"$1,604,472",,Yes,,,,43.56934,-79.73301
151,Child care,Education,New Tecumseth,St. Paul's Catholic Elementary School,Under construction,2024,Expansion of existing school,Addition to accommodate 49 child care spaces,Simcoe,Central,100 JAMES A MCCAGUE AVE,L9R0G5,,"$3,679,552",,Yes,,,,44.16496,-79.86846
152,Child care,Education,New Tecumseth,Tecumseth Beeton Public Elementary School,Complete,January 2024,Renovation of existing school,Renovation to accommodate 39 child care spaces,Simcoe,Central,43 PATTERSON ST,L0G1A0,,"$1,289,203",,Yes,,,,44.08114,-79.78196
153,Child care,Education,Newmarket,Denison Child Care,Complete,September 2019,Expansion of existing building,Addition to accommodate 73 community-based child care spaces,York,Central,605 FERNBANK RD,L3X3E4,,"$2,000,000",,Yes,,,,44.069102,-79.476731
154,Child care,Education,Niagara Falls,École élémentaire publique LaMarsh,Complete,September 2017,Renovation of existing school,Renovation to accommodate 10 child care spaces,Niagara,Central,4751 DRUMMOND RD,L2E6C8,,"$259,648",,Yes,,,,43.10604,-79.09921
155,Child care,Education,Niagara Falls,Our Lady of Mount Carmel Catholic Elementary School,Complete,November 2021,Expansion of existing school,Addition to accommodate 49 child care spaces,Niagara,Central,6525 CARLTON AVE,L2G5K4,,"$1,979,668",,Yes,,Yes,,43.08062,-79.10751
156,Child care,Education,Niagara-on-the-Lake,Niagara Nursery School,Complete,September 2018,Expansion of existing building,Addition to accommodate 15 community-based child care spaces,Niagara,Central,14 ANDERSON LANE,L0S1J0,,"$515,000",,Yes,,,,43.247309,-79.086946
157,Child care,Education,North Bay,Woodland Public Elementary School,Complete,September 2018,Expansion of existing school,Addition to accommodate 73 child care spaces,Nipissing,Northeast,1325 CEDARGROVE DR,P1B4S3,,"$2,989,389",,Yes,,,,46.3298394,-79.4793134
158,Child care,Education,North Bay,St. Francis Catholic Elementary School,Complete,January 2020,Expansion of existing school,Addition to accommodate 73 child care spaces,Nipissing,Northeast,68 GERTRUDE ST E,P1A1J8,,"$2,399,852",,Yes,,,,46.28934,-79.44714
159,Child care,Education,North Bay,Mother St. Bride Catholic Elementary School,Complete,May 2019,Renovation of existing school,Renovation to accommodate 49 child care spaces,Nipissing,Northeast,414 SECOND AVE W,P1B3L2,,"$899,945",,Yes,,,,46.31649,-79.46297
160,Child care,Education,North Bay,école secondaire publique l'Odyssée,Complete,September 2019,Renovation of existing school,Renovation to accommodate 34 child care spaces,Nipissing,Northeast,480 NORMAN AVE,P1B0A8,,"$1,199,926",,Yes,,,,46.32885,-79.43518
161,Child care,Education,North Dundas,Winchester Public Elementary School,Complete,September 2022,Expansion of existing school,Addition to accommodate 49 child care spaces,"Stormont, Dundas and Glengarry",East,547 LOUISE ST S,K0C2K0,,"$2,035,347",,Yes,,Yes,,45.0901,-75.3532
162,Child care,Education,North Dundas,Nationview Public Elementary School,Complete,September 2018,Renovation of existing school,Renovation to accommodate 34 child care spaces,"Stormont, Dundas and Glengarry",East,3045 COUNTY RD 1,K0E1W0,,"$365,666",,Yes,,,,44.98517,-75.45413
163,Child care,Education,North Glengarry,St. Finnan's Catholic Elementary School,Complete,September 2017,Renovation of existing school,Renovation to accommodate 15 child care spaces,"Stormont, Dundas and Glengarry",East,220 MAIN ST N,K0C1A0,,0,,,,Yes,,45.3051,-74.632
164,Child care,Education,North Grenville,Kemptville Public Elementary School,Complete,September 2022,Expansion of existing school,Addition to accommodate 49 child care spaces and 2 EarlyON rooms,Leeds and Grenville,East,224 LEEDS AND GRENVILLE 44 RD,K0G1J0,,"$3,262,558",,Yes,,,,45.0213155,-75.6519408
165,Child care,Education,North Perth,Elma Logan Recreation Complex,Complete,September 2019,Expansion of existing building,Addition to accommodate 15 community-based child care spaces and 2 community-based EarlyON rooms,Perth,Southwest,200 NELSON ST,N0K1P0,,"$1,590,000",,Yes,,,,43.589981,-81.084992
166,Child care,Education,Northeastern Manitoulin and The Islands,Little Current Public Elementary School,Under construction,2024,Renovation of existing school,Renovation to accommodate 10 child care spaces,Manitoulin,Northeast,18 DRAPER ST,P0P1K0,,"$327,711",,Yes,,,,45.97631,-81.9268
167,Child care,Education,Northern Bruce Peninsula,St. Edmunds Public Elementary School,Complete,June 2023,Renovation of existing school,Renovation to accommodate 39 child care spaces,Bruce,Southwest,21 CENTENNIAL DR,N0H2R0,,"$680,357",,Yes,,Yes,,45.24456,-81.65063
168,Child care,Education,Oakville,Oakwood Public Elementary School,Complete,September 2018,Expansion of existing school,Addition to accommodate 3 EarlyON rooms,Halton,Central,357 BARTOS DR,L6K3E5,,"$1,016,630",,Yes,,,,43.44721,-79.68331
169,Child care,Education,Oakville,École élémentaire publique Patricia-Picknell,Complete,October 2021,Renovation of existing school,Renovation to accommodate 24 child care spaces,Halton,Central,1257 SEDGEWICK CRES,L6L1X5,,"$257,127",,Yes,,,,43.41587,-79.69682
170,Child care,Education,Oakville,Seedlings Children's,Complete,September 2019,Expansion of existing school,Addition and renovation to accommodate 88 community based child care spaces,Halton,Central,320 BRONTE RD,L6H1M3,,0,,,,,,43.397211,-79.722469
171,Child care,Education,Oakville,Halton Centre for Child Care,Complete,September 2020,Expansion of existing building,Addition to accommodate 98 community-based child care spaces,Halton,Central,1151 BRONTE RD,L6M3L1,,"$3,060,000",,Yes,,,,43.415112,-79.741942
172,Child care,Education,Orangeville,École élémentaire publique des Quatre-Rivières,Complete,September 2020,Renovation of existing school,Renovation to accommodate 49 child care spaces and 2 EarlyON rooms,Dufferin,Central,60 CENTURY DR,L9W3K4,,"$1,298,240",,Yes,Yes,,,43.90215,-80.10734
173,Child care,Education,Orillia,Orchard Park Public Elementary School,Complete,September 2016,Expansion of existing school,Addition to accommodate 49 child care spaces,Simcoe,Central,24 CALVERLEY ST,L3V3T4,,"$1,512,509",,Yes,,Yes,,44.61993,-79.4311
174,Child care,Education,Orillia,St. Bernard's Catholic Elementary School,Complete,January 2020,Expansion of existing school,Addition to accommodate 49 child care spaces and 1 EarlyON room,Simcoe,Central,255 OXFORD ST,L3V1H6,,"$3,100,002",,Yes,,,,44.60052,-79.39605
175,Child care,Education,Oshawa,Queen Elizabeth Public Elementary School,Complete,September 2017,Renovation of existing school,Renovation to accommodate 49 child care spaces and 1 EarlyON room,Durham,Central,1205 SIMCOE ST N,L1G4X1,,"$1,008,340",,Yes,,,,43.92957,-78.87679
176,Child care,Education,Oshawa,Waverly Public Elementary School,Complete,September 2018,Renovation of existing school,Renovation to accommodate 49 child care spaces and 1 EarlyON room,Durham,Central,100 WAVERLY ST S,L1J5V1,,"$1,008,340",,Yes,,,,43.88848,-78.88699
177,Child care,Education,Oshawa,St. Kateri Tekakwitha Catholic Elementary School,Complete,September 2016,Expansion of existing school,Addition to accommodate 49 child care spaces,Durham,Central,1425 COLDSTREAM DR,L1K0B5,,"$1,482,852",,Yes,,,,43.94636303,-78.84014931
178,Child care,Education,Oshawa,Sir Albert Love Catholic Elementary School,Complete,September 2017,Renovation of existing school,Renovation to accommodate 1 EarlyON room,Durham,Central,425 WILSON RD N,L1G6E6,,"$252,085",,Yes,,,,43.9128,-78.8481
179,Child care,Education,Oshawa,Bobby Orr Public Elementary School,Complete,December 2021,Renovation of existing school,Renovation to accommodate 49 child care spaces,Durham,Central,7 WATERLOO ST,L1H8V9,,"$1,121,101",,Yes,,,,43.87289,-78.84085
180,Child care,Education,Oshawa,Monsignor Philip Coffey Catholic Elementary School,Complete,January 2022,Expansion of existing school,Addition to accommodate 88 child care spaces,Durham,Central,1324 OXFORD ST,L1J3W6,,"$3,068,660",,Yes,,Yes,,43.86172,-78.85399
181,Child care,Education,Oshawa,Seneca Trail Public Elementary School,Under construction,February 2025,Expansion of existing school,Addition to accommodate 49 child care spaces,Durham,Central,1915 QUEENSBURY DR,L1K0S1,,"$4,072,915",,Yes,,,,43.95745,-78.84251
182,Child care,Education,Ottawa,Prince of Peace Catholic Elementary School,Complete,September 2017,Renovation of existing school,Renovation to accommodate 24 child care spaces,Ottawa,East,1620 HEATHERINGTON RD,K1V9P5,,"$259,648",,Yes,,,,45.37384,-75.64545
183,Child care,Education,Ottawa,St. Luke Catholic Elementary School,Complete,September 2017,Renovation of existing school,Renovation to accommodate 39 child care spaces,Ottawa,East,60 MOUNTSHANNON DR,K2J4C2,,"$519,296",,Yes,,,,45.29175,-75.73499
184,Child care,Education,Ottawa,École élémentaire catholique Sainte-Anne,Complete,January 2020,Expansion of existing school,Addition to accommodate 18 child care spaces,Ottawa,East,235 BEAUSOLEIL DR,K1N0C1,,"$1,038,591",,Yes,,,,45.43258,-75.68202
185,Child care,Education,Ottawa,Jockvale Public Elementary School,Complete,September 2023,Renovation of existing school,Renovation to accommodate 15 child care spaces,Ottawa,East,101 MALVERN DR,K2J2S8,,"$259,648",,Yes,,,,45.27934,-75.75968
186,Child care,Education,Ottawa,Knoxdale Public Elementary School,Complete,September 2021,Renovation of existing school,Renovation to accommodate 39 child care spaces,Ottawa,East,170 GREENBANK RD,K2H5V2,,"$519,296",,Yes,,,,45.32765,-75.78111
187,Child care,Education,Ottawa,Mary Honeywell Public Elementary School,Complete,September 2023,Renovation of existing school,Renovation to accommodate 10 child care spaces,Ottawa,East,54 KENNEVALE DR,K2J3B2,,"$259,648",,Yes,,,,45.26882,-75.76723
188,Child care,Education,Ottawa,Heritage Public Elementary School,Complete,September 2021,Renovation of existing school,Renovation to accommodate 15 child care spaces,Ottawa,East,1375 COLONIAL RD,K4B1N1,,"$259,648",,Yes,,,,45.42165,-75.41669
189,Child care,Education,Ottawa,École élémentaire catholique Lamoureux,Complete,March 2020,Expansion of existing school,Addition to accommodate 39 child care spaces,Ottawa,East,2540 KALADAR AVE,K1V8C5,,"$1,224,480",,Yes,Yes,Yes,,45.37266,-75.67127
190,Child care,Education,Ottawa,École élémentaire catholique Roger-Saint-Denis,Complete,September 2020,Expansion of existing school,Addition to accommodate 34 child care spaces and 1 EarlyON room,Ottawa,East,186 BARROW CRES,K2L2C7,,"$1,109,418",,Yes,Yes,Yes,,45.31128,-75.88231
191,Child care,Education,Ottawa,École élémentaire catholique Arc-en-Ciel,Complete,June 2018,Renovation of existing school,Renovation to accommodate 15 child care spaces,Ottawa,East,1830 PORTOBELLO BLVD,K4A3T6,,"$292,902",,Yes,,,,45.47205,-75.47038
192,Child care,Education,Ottawa,EarlyON Mobile Unit,Complete,September 2020,Expansion of existing building,Addition to accommodate 1 community-based EarlyON room,Ottawa,East,815 ST LAURENT BLVD,K1K3A7,,"$515,000",,Yes,,,,45.298721,-75.890474
193,Child care,Education,Ottawa,Francophone Child Care Programs,Complete,September 2020,Renovation of existing building,Renovation to accommodate 15 community-based child care spaces,Ottawa,East,998 FRANCES ST,K1K3L5,,"$515,000",,Yes,,,,45.427348,-75.648424
194,Child care,Education,Ottawa,High Needs Area Ward 10 - Project A,Complete,September 2020,Expansion of existing building,Addition to accommodate 88 community-based child care spaces,Ottawa,East,2826 SPRINGLAND DR,K1V9S7,,"$2,317,500",,Yes,,,,45.381604,-75.634675
195,Child care,Education,Ottawa,High Needs Area Ward 10 - Project B,Complete,September 2020,Renovation of existing school,Renovation to accommodate 49 community based child care spaces,Ottawa,East,,K1H 1E1,,0,,,,,,45.381604,-75.634675
196,Child care,Education,Ottawa,High Needs Area Ward 7 - Project A,Complete,September 2020,Expansion of existing building,Addition to accommodate 49 community-based child care spaces,Ottawa,East,411 CORKSTOWN RD,K2K0J5,,"$1,545,000",,Yes,,,,45.366602,-75.792505
197,Child care,Education,Ottawa,High Needs Area Ward 7 - Project B,Complete,September 2020,Renovation of existing building,Renovation to accommodate 49 community-based child care spaces,Ottawa,East,2345 ALTA VISTA DR,K1H7M6,,"$772,500",,Yes,,,,45.366602,-75.792505
198,Child care,Education,Ottawa,Indigenous Child Care Program,Complete,September 2020,Expansion of existing building,Addition to accommodate 30 community-based child care spaces,Ottawa,East,1099 LONGFIELDS DR,K2J5L2,,"$1,030,000",,Yes,,,,45.431152,-75.660075
199,Child care,Education,Ottawa,Young Mothers,Complete,September 2020,Expansion of existing building,Addition to accommodate 15 community-based child care spaces,Ottawa,East,150 MANN AVE,K1N8P4,,"$515,000",,Yes,,,,45.421951,-75.66939
200,Child care,Education,Ottawa,Young Mothers,Complete,September 2020,Expansion of existing building,Addition to accommodate 15 community-based child care spaces,Ottawa,East,1125 COLONEL BY DR,K1S5B6,,"$515,000",,Yes,,,,45.434285,-75.664684
201,Child care,Education,Ottawa,WE Gowling Public Elementary School,Under construction,2024,Renovation of existing school,Renovation to accommodate 39 child care spaces,Ottawa,East,250 ANNA AVE,K1Z7V6,,"$550,869",,Yes,,,,45.3829418,-75.7311534
202,Child care,Education,Ottawa,école élémentaire catholique Sainte-Marie,Complete,February 2023,Renovation of existing school,Renovation to accommodate 39 child care spaces,Ottawa,East,2599 INNES RD,K1B3J8,,"$550,869",,Yes,Yes,Yes,,45.43201,-75.56632
203,Child care,Education,Owen Sound,École élémentaire catholique Saint-Dominique-Savio,Planning,September 2024,Expansion of existing school,Addition to accommodate 10 child care spaces,Grey,Southwest,800 23RD ST E,N4K6Z5,,"$1,124,197",,Yes,Yes,,,44.58707307,-80.92325457
204,Child care,Education,Owen Sound,Sydenham,Complete,September 2018,Renovation of existing school,Renovation to accommodate 2 community based EarlyON room,Grey,Southwest,1130 8TH ST E,N4K1M7,,0,,,,,,44.567062,-80.920757
205,Child care,Education,Owen Sound,St. Basil's Catholic Elementary School,Planning,September 2025,Expansion of existing school,Addition to accommodate 78 child care spaces,Grey,Southwest,925 9TH AVE W,N4K4N8,,"$2,077,180",,Yes,,,,44.56372,-80.96082
206,Child care,Education,Owen Sound,Notre Dame Catholic Elementary School,Planning,September 2028,Expansion of existing school,Addition to accommodate 78 child care spaces,Grey,Southwest,885 25TH ST E,N4K6X6,,"$2,077,180",,Yes,,,,44.58869,-80.92243
207,Child care,Education,Parry Sound,Journey Together,Complete,September 2018,Renovation of existing building,Renovation to accommodate 15 community-based child care spaces,Parry Sound,Northeast,86 GIBSON ST,P2A1X5,,"$100,000",,Yes,,,,45.348958,-80.035371
208,Child care,Education,Pelham,A Child's World Family Care Lookout Ridge,Complete,September 2018,Renovation of existing building,Renovation to accommodate 25 community-based child care spaces,Niagara,Central,1505 LOOKOUT ST,L0S1E5,,"$515,000",,Yes,,,,43.043773,-79.300425
209,Child care,Education,Pembroke,école élémentaire et secondaire catholique Jeanne-Lajoie,Complete,November 2018,Expansion of existing school,Addition to accommodate 34 child care spaces,Renfrew,East,1257 PEMBROKE ST W,K8A5R3,,"$1,058,757",,Yes,Yes,Yes,,45.83537,-77.15044
210,Child care,Education,Pembroke,Our Lady of Lourdes Catholic Elementary School,Planning,July 2025,Expansion of existing school,Addition to accommodate 73 child care spaces,Renfrew,East,535 IRVING ST,K8A2V2,,"$2,117,517",,Yes,,,,45.82095,-77.09398
211,Child care,Education,Pembroke,École élémentaire publique L'Équinoxe,Complete,June 2024,Expansion of existing school,Addition to accommodate 39 child care spaces,Renfrew,East,399 ISABELLA ST,K8A5T4,,"$1,058,757",,Yes,Yes,,,45.82381,-77.12157
212,Child care,Education,Penetanguishene,École élémentaire catholique Saint-Louis,Complete,January 2020,Renovation of existing school,Renovation to accommodate 24 child care spaces,Simcoe,Central,54 DUFFERIN ST,L9M1H4,,"$264,690",,Yes,Yes,,,44.78186,-79.91979
213,Child care,Education,Perry,Highlands Early Learning and Child Care,Complete,September 2018,Renovation of existing building,Renovation to accommodate 39 community-based child care spaces,Parry Sound,Northeast,2500 HWY 592 N,P0A1J0,,"$595,000",,Yes,,,,45.54324,-79.324931
214,Child care,Education,Perth East,Sprucedale Public Elementary School,Complete,March 2020,Expansion of existing school,Addition to accommodate 15 child care spaces,Perth,Southwest,2215 FRASER ST,N0B2P0,,"$670,586",,Yes,,Yes,,43.36809,-80.83939
215,Child care,Education,Perth East,Milverton Public Elementary School,Under construction,May 2025,Expansion of existing school,Addition to accommodate 39 child care spaces,Perth,Southwest,68 MILL ST E,N0K1M0,,"$2,841,430",,Yes,,,,43.56293,-80.91495
216,Child care,Education,Petawawa,Herman Street Public Elementary School,Complete,March 2023,Expansion of existing school,Addition to accommodate 88 child care spaces,Renfrew,East,15 HERMAN ST,K8H1W1,,"$2,772,938",,Yes,,,,45.8919,-77.2737
217,Child care,Education,Peterborough,Compass Early Learning and Care ,Complete,September 2019,Expansion of existing building,Addition to accommodate 49 community-based child care spaces,Peterborough,East,553 BONACCORD ST,K9H3A8,,"$1,150,000",,Yes,,,,44.308352,-78.336212
218,Child care,Education,Pickering,Altona Forest Public Elementary School,Complete,September 2018,Renovation of existing school,Renovation to accommodate 49 child care spaces,Durham,Central,405 WOODSMERE CRES,L1V7A3,,"$756,255",,Yes,,,,43.82786,-79.13176
219,Child care,Education,Pickering,St. Elizabeth Seton Catholic Elementary School,Complete,September 2017,Renovation of existing school,Renovation to accommodate 10 child care spaces,Durham,Central,490 STROUDS LANE,L1V6W7,,"$252,085",,Yes,,,,43.8267,-79.1309
220,Child care,Education,Pickering,Bayview Heights Public Elementary School,Complete,December 2021,Renovation of existing school,Renovation to accommodate 49 child care spaces,Durham,Central,1400 GARVOLIN AVE,L1W1J6,,"$1,095,247",,Yes,,,,43.82722,-79.07991
221,Child care,Education,Pickering,Glengrove Public Elementary School,Complete,October 2021,Renovation of existing school,Renovation to accommodate 15 child care spaces,Durham,Central,1934 GLENGROVE RD,L1V1X2,,"$504,171",,Yes,,,,43.84264,-79.08693
222,Child care,Education,Pickering,Vaughan Willard Public Elementary School,Under construction,September 2024,Renovation of existing school,Renovation to accommodate 25 child care spaces,Durham,Central,1911 DIXIE RD,L1V1V4,,"$2,574,882",,Yes,,,,43.83742,-79.10122
223,Child care,Education,Pickering,école élémentaire et secondaire publique Ronald-Marion,Complete,March 2024,Expansion of existing school,Addition to accommodate 49 child care spaces,Durham,Central,2235 BROCK RD,L1V2P8,,"$2,263,533",,Yes,Yes,Yes,,43.86064,-79.0787
224,Child care,Education,Pickering,Rosebank Road Public Elementary School,Planning,2024,Expansion of existing school,Addition to accommodate 49 child care spaces,Durham,Central,591 ROSEBANK RD,L1W2N6,,"$1,604,472",,Yes,,,,43.80736,-79.12051
